unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,just_date
1651564500,2022-05-03 07:55:00,XRP/USD,0.61893,0.61897,0.61868,0.61868,8174.2118464,5057.221385130752,2022-05-03
1651564440,2022-05-03 07:54:00,XRP/USD,0.61761,0.61854,0.61761,0.6183,22461.81917215,13888.142794140344,2022-05-03
1651564380,2022-05-03 07:53:00,XRP/USD,0.61736,0.61737,0.61705,0.61737,14477.20046439,8937.789250700454,2022-05-03
1651564320,2022-05-03 07:52:00,XRP/USD,0.61703,0.61717,0.61703,0.61717,2298.4172,1418.514143324,2022-05-03
1651564260,2022-05-03 07:51:00,XRP/USD,0.61626,0.61672,0.61595,0.61669,11810.70155606,7283.54154260664,2022-05-03
1651564200,2022-05-03 07:50:00,XRP/USD,0.61659,0.61659,0.61654,0.61654,6558.98052722,4043.8738542522183,2022-05-03
1651564140,2022-05-03 07:49:00,XRP/USD,0.61697,0.61697,0.61611,0.61611,18650.98229053,11491.056699018438,2022-05-03
1651564080,2022-05-03 07:48:00,XRP/USD,0.61713,0.61713,0.61713,0.61713,0.0,0.0,2022-05-03
1651564020,2022-05-03 07:47:00,XRP/USD,0.61731,0.61744,0.61713,0.61713,17120.71977103,10565.709792295742,2022-05-03
1651563960,2022-05-03 07:46:00,XRP/USD,0.6177,0.6177,0.61769,0.61769,1967.70257373,1215.4302027672836,2022-05-03
